SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
14107	0.997624264		0.997624264	0.997624264	0.997624264	0.997624264	0.997624264	1
14108	0.168017342	0.03013211	0.150945672	0.156743795	0.179452239	0.145147549	0.202160684	3
14109	0.284664709	0.150353803	0.157781819	0.268114968	0.395812892	0.108458307	0.539351336	13
14110	0.620965083	0.797569523	0.252050697	0.391867806	0.686877451	0.105270767	4.66634364	37
14111	1.642301977	2.034044157	0.261938493	0.588174298	2.382121205	0.057545585	5.715356038	12
14112	0.080994948		0.080994948	0.080994948	0.080994948	0.080994948	0.080994948	1
14113	0.263909928	0.220812569	0.120391437	0.180721829	0.32424032	0.11034989	0.583846164	4
14114	0.428677133	0.349645569	0.190711598	0.312834947	0.587914964	0.067060827	2.481663627	174
14115	0.194336304		0.194336304	0.194336304	0.194336304	0.194336304	0.194336304	1
14116	0.267812454	0.072633123	0.225926389	0.229425416	0.290505	0.222427362	0.351584584	3
14117	0.757588825		0.757588825	0.757588825	0.757588825	0.757588825	0.757588825	1
14123	0.437908407	0.518358967	0.146635124	0.267392582	0.543442338	0.066379336	2.491189793	23
14124	0.04770342	0.03322703	0.035955891	0.04770342	0.059450949	0.024208362	0.071198478	2
14125	0.161459039	0.080997099	0.137485677	0.207029648	0.208217705	0.067941707	0.209405762	3
14126	0.056990847		0.056990847	0.056990847	0.056990847	0.056990847	0.056990847	1
14127	0.317594026		0.317594026	0.317594026	0.317594026	0.317594026	0.317594026	1
14128	0.049317803		0.049317803	0.049317803	0.049317803	0.049317803	0.049317803	1
14129	1.429070488		1.429070488	1.429070488	1.429070488	1.429070488	1.429070488	1
14130	1.280317141		1.280317141	1.280317141	1.280317141	1.280317141	1.280317141	1
14131	0.216584819		0.216584819	0.216584819	0.216584819	0.216584819	0.216584819	1
14136	0.359510564	0.256198623	0.175136839	0.274230874	0.401112098	0.063072731	1.132560298	32
14137	0.312024668	0.20922453	0.154848741	0.266447935	0.396302786	0.067602994	0.786981707	17
14138	0.279391818	0.198157176	0.221710001	0.227321606	0.24196215	0.089029285	0.71204753	7
14139	0.272399606	0.075289482	0.227164879	0.274219182	0.292328135	0.188264186	0.427208753	8
14143	0.476113484		0.476113484	0.476113484	0.476113484	0.476113484	0.476113484	1
14144	0.283229177		0.283229177	0.283229177	0.283229177	0.283229177	0.283229177	1
14148	1.157423165	0.151517334	1.103853698	1.157423165	1.210992632	1.050284231	1.2645621	2
14149	0.433309815	0.214876309	0.301514731	0.394706344	0.589050617	0.17468332	0.706594061	5
14150	0.201426629	0.108095308	0.105279993	0.173892239	0.265043237	0.077452608	0.389368024	13
14151	0.386700569	0.187639966	0.264519493	0.325262288	0.477744645	0.164369258	0.782490613	15
14152	0.071000009		0.071000009	0.071000009	0.071000009	0.071000009	0.071000009	1
14165	0.128901794	0.08430836	0.086920352	0.12958855	0.171226614	0.044252154	0.212864678	3
14166	0.08282054	0.044587744	0.067056392	0.08282054	0.098584688	0.051292244	0.114348836	2
14167	0.120902008		0.120902008	0.120902008	0.120902008	0.120902008	0.120902008	1
14177	0.290041607	0.16148541	0.184266456	0.275305191	0.377950471	0.093082351	0.569303199	8
14178	0.216220371		0.216220371	0.216220371	0.216220371	0.216220371	0.216220371	1
14179	0.228255421	0.09938202	0.176015957	0.217124361	0.274929356	0.134907552	0.33273435	3
14180	0.186421824	0.177275935	0.123745316	0.186421824	0.249098332	0.061068808	0.31177484	2
14181	0.135351405	0.062167485	0.105224955	0.141273399	0.171399849	0.056379159	0.202479663	4
14182	0.35595607	0.40361117	0.139887598	0.163971738	0.399380582	0.061832625	1.403722701	13
14183	0.682542307		0.682542307	0.682542307	0.682542307	0.682542307	0.682542307	1
14184	0.199250328		0.199250328	0.199250328	0.199250328	0.199250328	0.199250328	1
14185	0.323429638	0.195364735	0.180782029	0.262790578	0.421466168	0.122842931	0.786625126	15
14186	0.122354741		0.122354741	0.122354741	0.122354741	0.122354741	0.122354741	1
14187	0.281259047		0.281259047	0.281259047	0.281259047	0.281259047	0.281259047	1
14189	0.178664057	0.088246712	0.118613217	0.18034463	0.24039547	0.080732062	0.273234906	4
14190	0.621280635	0.630383981	0.27101538	0.44226583	0.882038488	0.099764929	1.321811145	3
14191	0.177623867		0.177623867	0.177623867	0.177623867	0.177623867	0.177623867	1
14193	0.202093651	0.118830642	0.118966845	0.172051162	0.260985697	0.029354753	0.601364162	46
14194	0.218062828	0.101731845	0.182095189	0.218062828	0.254030467	0.14612755	0.289998106	2
14195	0.100818439		0.100818439	0.100818439	0.100818439	0.100818439	0.100818439	1
14196	0.226232963	0.143723929	0.168848459	0.272663795	0.306832882	0.065033123	0.34100197	3
14197	0.190607357	0.098032499	0.137641449	0.172198771	0.234368972	0.103084126	0.296539173	3
14198	0.361900416	0.382706283	0.150154904	0.168868719	0.46404339	0.068644701	1.058668443	6
14199	0.420932324	0.297351752	0.22394669	0.401124798	0.598110433	0.104643411	0.77683629	4
14200	0.878477658		0.878477658	0.878477658	0.878477658	0.878477658	0.878477658	1
14202	0.253915031	0.223943243	0.125042497	0.143103117	0.327381608	0.106981876	0.511660099	3
14203	0.472869746	0.051388659	0.449169347	0.48008322	0.500176882	0.418255475	0.520270544	3
14204	0.65572717	0.005250003	0.653871014	0.65572717	0.657583326	0.652014857	0.659439482	2
14205	0.34398266	0.251088508	0.186878455	0.295938052	0.381072656	0.058895791	1.357723671	33
14207	0.686257838		0.686257838	0.686257838	0.686257838	0.686257838	0.686257838	1
14208	0.225700154	0.107778933	0.157065505	0.230290581	0.297408693	0.062647974	0.382844367	8
14209	0.477746801	0.401158691	0.215391975	0.343809962	0.637568916	0.063879989	2.691350729	124
14210	0.359581498	0.20079163	0.206442572	0.293333118	0.412401419	0.201238985	0.684491394	5
14211	0.264738981	0.12943595	0.195055213	0.263068862	0.343154542	0.079216759	0.440845639	6
14212	0.211972582	0.089636	0.173895425	0.221799639	0.237900237	0.105840147	0.403734797	9
14213	0.152218631		0.152218631	0.152218631	0.152218631	0.152218631	0.152218631	1
14214	0.120082592	0.039614233	0.106076845	0.120082592	0.134088338	0.092071099	0.148094084	2
14215	0.428928545	0.739168508	0.119393365	0.270505094	0.365948939	0.090048221	3.567187908	21
14216	0.225605216	0.129078533	0.110144055	0.20820378	0.286033478	0.077955538	0.43401425	13
14217	0.253206385		0.253206385	0.253206385	0.253206385	0.253206385	0.253206385	1
14218	0.296959254	0.126303563	0.2523042	0.296959254	0.341614307	0.207649147	0.38626936	2
14219	0.279745594		0.279745594	0.279745594	0.279745594	0.279745594	0.279745594	1
14220	0.197004571	0.0013582	0.196524375	0.197004571	0.197484767	0.196044179	0.197964963	2
14221	0.301203221	0.300910654	0.194815239	0.301203221	0.407591204	0.088427257	0.513979186	2
14222	0.368308972	0.209340158	0.207032461	0.322224973	0.516605219	0.067080267	0.797500674	16
14223	0.508984793	0.495529713	0.202879536	0.252203574	0.492171987	0.088389492	1.432465253	9
14224	0.108047662	0.059281316	0.083512359	0.124844321	0.140981295	0.042180396	0.157118269	3
14226	0.484989101		0.484989101	0.484989101	0.484989101	0.484989101	0.484989101	1
14227	0.28083807	0.147674512	0.142891394	0.294477778	0.316453783	0.135920863	0.592625661	9
